pitcher_name,game_date,hitting_team,k,start,rolling_whiff_rate,rolling_chase_rate,roll_whiff,roll_chase,roll_barrel,SO_Prop
Anthony DeSclafani,2023-05-19,MIA,6,TRUE,0.11056481481481484,0.22375925925925927,0.12028653607830261,0.17561625635236247,0.044354974144626774,4.5
Anthony DeSclafani,2023-05-24,MIN,6,TRUE,0.10295611916264094,0.22484621578099837,0.1601661550961452,0.17029598567602539,0.040720883126898186,5.5
Anthony DeSclafani,2023-05-29,PIT,2,TRUE,0.10172534993187173,0.18361544655022916,0.11570271683387615,0.13257753042853274,0.033133967382423114,4.5
Anthony DeSclafani,2023-06-14,STL,7,TRUE,0.09518146909451261,0.19163879598662206,0.11245295992662108,0.13641748603557208,0.06685906685906687,3.5
Anthony DeSclafani,2023-06-20,SD,6,TRUE,0.14837840004080416,0.21261066299429468,0.09929469019725864,0.12477734946068009,0.027667405634526722,3.5
Anthony DeSclafani,2023-06-25,AZ,3,TRUE,0.13427583593824005,0.22350809889173057,0.12063381011873928,0.15741778666438894,0.021463111356728393,3.5
Anthony DeSclafani,2023-07-01,NYM,3,TRUE,0.1459160475784517,0.22985730524093695,0.10724360730802696,0.14309936897294565,0.06243259901945099,3.5
Austin Cox,2023-07-03,MIN,4,TRUE,0.24385964912280703,0.3288220551378446,0.1374550250496885,0.14703146256474048,0.06394236624415654,3.5
Austin Gomber,2023-05-12,PHI,6,TRUE,0.09652236652236654,0.23163059163059163,0.13534215734611005,0.18679097596502978,0.03430990597891019,3.5
Austin Gomber,2023-05-17,CIN,1,TRUE,0.12747474747474746,0.2685353535353535,0.13492463652686565,0.13352990082391866,0.05073467413090056,3.5
Austin Gomber,2023-05-23,MIA,2,TRUE,0.11636363636363636,0.22409090909090912,0.10161310534092116,0.1462344457190847,0.027457951147624192,3.5
Austin Gomber,2023-05-28,NYM,3,TRUE,0.10454545454545454,0.22045454545454546,0.08541563177462456,0.13805924270246983,0.05189812020396728,2.5
Austin Gomber,2023-06-09,SD,1,TRUE,0.12722943722943722,0.18945887445887447,0.11700993185913718,0.1043943224283607,0.07168471304267184,3.5
Austin Gomber,2023-06-14,BOS,5,TRUE,0.08522943722943722,0.13845887445887445,0.10058534437363176,0.1404287818436317,0.04407149578727022,3.5
Austin Gomber,2023-06-19,CIN,6,TRUE,0.12522943722943722,0.18645887445887446,0.1087706978965782,0.11651855877678248,0.054371414775100615,4.5
Austin Gomber,2023-06-25,LAA,3,TRUE,0.1434112554112554,0.17736796536796537,0.12638932897090316,0.14479686045080883,0.06983724517153499,3.5
Austin Gomber,2023-06-30,DET,7,TRUE,0.15293506493506495,0.1868917748917749,0.13020203998634367,0.1502503428686003,0.04884812635209753,3.5
Bailey Ober,2023-05-22,SF,2,TRUE,0.22041200828157348,0.3508695652173913,0.14373386740908284,0.14784676582932388,0.02756085884399777,5.5
Bailey Ober,2023-05-28,TOR,7,TRUE,0.21088819875776393,0.30325051759834365,0.10898711790486734,0.12545384442265436,0.044451961582797093,4.5
Bailey Ober,2023-06-14,MIL,7,TRUE,0.21361859193438143,0.2807837776258829,0.11501777481959227,0.13574546474163132,0.04324443135562654,5.5
Bailey Ober,2023-06-20,BOS,4,TRUE,0.22395192526771474,0.2907837776258829,0.09638125049773942,0.15364003743642168,0.042970941893001144,5.5
Bailey Ober,2023-06-25,DET,7,TRUE,0.23453393584972532,0.3458102326523379,0.13623898442415067,0.16272030028872186,0.021972909671268064,5.5
Bailey Ober,2023-07-01,BAL,8,TRUE,0.24277192211974824,0.3416912395173265,0.12014107714590176,0.1456050438519453,0.029359432837693704,4.5
Ben Lively,2023-06-09,STL,8,TRUE,0.2111316614420063,0.23030094043887145,0.13150796544344937,0.16195862724894977,0.03954837845081747,4.5
Ben Lively,2023-06-14,KC,4,TRUE,0.22363166144200627,0.2865509404388714,0.12072552232105374,0.14107712016659574,0.043325030608576134,4.5
Ben Lively,2023-06-20,COL,4,TRUE,0.19844647625682107,0.2884027922907233,0.15912181545886056,0.1587934371127952,0.043386101701988596,5.5
Blake Snell,2023-05-12,LAD,4,TRUE,0.18820918212222557,0.23637701429005778,0.11203157879550452,0.1277267903527851,0.05192224846133199,6.5
Blake Snell,2023-05-19,BOS,5,TRUE,0.16359379750684094,0.24960778352082702,0.08981407485141675,0.1229003813561318,0.053066750174027046,6.5
Blake Snell,2023-05-25,WSH,6,TRUE,0.155172744875262,0.26223936246819546,0.0933263226963269,0.13829839328965174,0.04767816063103573,5.5
Blake Snell,2023-05-31,MIA,7,TRUE,0.1620568028462765,0.2941234204392099,0.11790777033719343,0.13809082983442364,0.03393128217686121,5.5
Blake Snell,2023-06-11,COL,12,TRUE,0.16847212665290465,0.3039440346076502,0.13553380041722432,0.1546919775070545,0.04253870587783138,5.5
Blake Snell,2023-06-17,TB,12,TRUE,0.2400440330074197,0.3303654392899244,0.12034840193768148,0.1494849689063157,0.04089668615984407,5.5
Blake Snell,2023-06-22,SF,11,TRUE,0.30013175230566536,0.35273386034255594,0.11297475318276515,0.13207690462269303,0.050143578932063525,7.5
Blake Snell,2023-06-28,PIT,10,TRUE,0.3251317523056653,0.3336862412949369,0.1445367898208932,0.15975550668593375,0.032204957454679974,7.5
Bobby Miller,2023-06-24,HOU,3,TRUE,0.22102913189869708,0.2731327770458205,0.12054675083296477,0.1769706804671735,0.05084106806564435,5.5
Bobby Miller,2023-06-30,KC,4,TRUE,0.19602913189869708,0.2697994437124872,0.1451547869762342,0.16974468161736717,0.02248213125406111,5.5
Brad Keller,2023-05-10,CWS,4,TRUE,0.08463492063492063,0.12304761904761904,0.11260947064497225,0.1593299585400551,0.04702022733965189,2.5
Brad Keller,2023-05-15,SD,2,TRUE,0.09263492063492063,0.16304761904761905,0.12654614428251834,0.1347125103967056,0.04105339105339105,3.5
Brady Singer,2023-05-11,CWS,4,TRUE,0.1514390451832907,0.13967433930093778,0.10940483744033905,0.1543106535207501,0.03726412977867628,4.5
Brady Singer,2023-05-16,SD,3,TRUE,0.11210571184995737,0.13367433930093778,0.10779430442381947,0.12704397933989076,0.04613275613275613,4.5
Brady Singer,2023-05-22,DET,3,TRUE,0.11082366056790609,0.14777690340350186,0.1239627370901368,0.13226689718305024,0.0545495526145681,4.5
Brady Singer,2023-05-27,WSH,6,TRUE,0.11200943131889422,0.17663065834421335,0.0990208506044771,0.1338266298008604,0.03928318566946877,4.5
Brady Singer,2023-06-10,BAL,4,TRUE,0.1391659065572109,0.23373365764670115,0.1612916279814544,0.18123135980941957,0.04347462716674229,3.5
Brady Singer,2023-06-16,LAA,4,TRUE,0.14977196716327149,0.2382791121921557,0.1335758479183023,0.133959992537453,0.06975020305778157,4.5
Brady Singer,2023-06-21,DET,2,TRUE,0.1593873517786561,0.2491765480895916,0.1266477334355062,0.15442902684308565,0.05108192615921918,4.5
Brady Singer,2023-06-27,CLE,3,TRUE,0.1464003387916431,0.2783973273103708,0.11561506886166795,0.1854667102110421,0.02230794465239516,3.5
Brady Singer,2023-07-02,LAD,4,TRUE,0.12031338226990396,0.30448428383210996,0.1129483963068495,0.11919684378971747,0.04033704390847246,4.5
Brandon Bielak,2023-05-30,MIN,6,TRUE,0.17111662846956963,0.25369238604532723,0.12907703768884235,0.139674776394291,0.0645565990393577,4.5
Brandon Bielak,2023-06-11,CLE,4,TRUE,0.16190946734424994,0.26260116694899305,0.12041199373645042,0.1652104535703081,0.035221674876847284,3.5
Brandon Bielak,2023-06-17,CIN,3,TRUE,0.15581422924901184,0.288505928853755,0.09190618597422948,0.10542230178082253,0.05552684381098383,4.5
Brandon Bielak,2023-07-04,COL,4,TRUE,0.10808695652173912,0.27486956521739137,0.1216300910505403,0.17014599857143162,0.035409243593386854,4.5
Brandon Pfaadt,2023-06-29,TB,3,TRUE,0.12110983981693364,0.13529748283752863,0.11283333184737973,0.1616299981658452,0.057540754764237464,3.5
Brandon Williamson,2023-06-13,KC,1,TRUE,0.1809235209235209,0.2656998556998557,0.13743226685328783,0.14455816906159175,0.03720738354975261,4.5
Brandon Williamson,2023-06-19,COL,5,TRUE,0.12092352092352092,0.2456998556998557,0.16057086581336036,0.16435158025826951,0.040788699104586004,4.5
Brandon Williamson,2023-06-26,BAL,2,TRUE,0.12092352092352092,0.2647474747474748,0.14027317165593028,0.18150664393078192,0.07503422892896575,3.5
Brandon Williamson,2023-07-01,SD,5,TRUE,0.12698412698412698,0.2677777777777778,0.09166005033065565,0.10915861662122314,0.05404466101274612,3.5
Braxton Garrett,2023-05-14,CIN,8,TRUE,0.17006964050442308,0.2621522680218332,0.13444158455389824,0.14339719092424835,0.07261820123181896,4.5
Braxton Garrett,2023-05-20,SF,8,TRUE,0.19370600414078673,0.23669772256728777,0.13696360699348106,0.1264546566742263,0.022786775297535707,4.5
Braxton Garrett,2023-05-25,COL,3,TRUE,0.22476190476190477,0.27976190476190477,0.14910860581077007,0.1593173950748667,0.03400439871955864,4.5
Braxton Garrett,2023-05-31,SD,7,TRUE,0.18294372294372294,0.21794372294372294,0.09275703956066621,0.1478466158795853,0.05228723404255318,4.5
Braxton Garrett,2023-06-11,CWS,9,TRUE,0.20499886078833446,0.2316655274550011,0.14701938557987385,0.17702776601224995,0.03562560758890147,4.5
Braxton Garrett,2023-06-17,WSH,8,TRUE,0.18499886078833444,0.2716655274550011,0.12111556050383743,0.1900495801951348,0.047288897459971724,4.5
Braxton Garrett,2023-06-22,PIT,13,TRUE,0.17331054910002278,0.23097288676236039,0.10986828938801482,0.14147920689944699,0.03551732734653529,5.5
Braxton Garrett,2023-07-03,STL,6,TRUE,0.1902164502164502,0.3173232323232323,0.12980501257025231,0.15579121706397894,0.04551433120850834,5.5
Brayan Bello,2023-05-17,SEA,7,TRUE,0.20175293305728087,0.30187715665976544,0.1296947635460146,0.16412200115888645,0.045032467532467556,5.5
Brayan Bello,2023-05-23,LAA,6,TRUE,0.20530848861283646,0.2800993788819876,0.1758502852177515,0.14583026234630428,0.038500544662309365,5.5
Brayan Bello,2023-05-30,CIN,4,TRUE,0.21589049919484707,0.25999355877616753,0.09677485978753551,0.1380320598230879,0.03636009452027759,5.5
Brayan Bello,2023-06-11,NYY,3,TRUE,0.17956942896073336,0.24905710392666922,0.13613825536625712,0.16836310584665376,0.05842606818339887,5.5
Brayan Bello,2023-06-23,CWS,5,TRUE,0.14578347578347584,0.23648758648758655,0.13097578632883106,0.16061301715568344,0.048643332269416584,5.5
Brayan Bello,2023-06-29,MIA,5,TRUE,0.14578347578347584,0.24389499389499397,0.11167058151722556,0.1303169886993011,0.03418982157576699,4.5
Bryan Woo,2023-07-03,SF,7,TRUE,0.25744360902255636,0.23215538847117792,0.15058499167844425,0.14732183670789611,0.05162495476448965,5.5
Bryce Elder,2023-05-13,TOR,3,TRUE,0.1586711259754738,0.28303121516165,0.13889166980299744,0.1306220920348927,0.05106297364361882,4.5
Bryce Elder,2023-05-19,SEA,6,TRUE,0.14511801242236028,0.2691118012422361,0.13609786432120843,0.16368789263175465,0.045923005565862735,5.5
Bryce Elder,2023-05-24,LAD,6,TRUE,0.15345134575569358,0.2774451345755694,0.11002344993660935,0.11931241589247066,0.05971262387775367,4.5
Bryce Elder,2023-05-30,OAK,5,TRUE,0.16582592769549293,0.24433476668259285,0.15238166980539858,0.15498210922787198,0.06052354666206659,5.5
Bryce Elder,2023-06-06,NYM,8,TRUE,0.1350805860805861,0.2120366300366301,0.13717270241586604,0.1508325631961666,0.045983563560062946,4.5
Bryce Elder,2023-06-11,WSH,1,TRUE,0.15455884695015132,0.23221054308010833,0.10685877336009027,0.18154145240185615,0.03555183795427696,4.5
Bryce Elder,2023-06-17,COL,4,TRUE,0.15336837075967513,0.21792482879439407,0.1438306617219955,0.17808696013258585,0.02557340806095689,5.5
Bryce Elder,2023-06-22,PHI,6,TRUE,0.12988352227482663,0.22247028333984858,0.17080975410502153,0.18670009550979977,0.048475091856013355,4.5
Bryce Elder,2023-06-27,MIN,4,TRUE,0.13757582996713433,0.25323951410907936,0.13117156307673764,0.13179494089611235,0.07257735997016809,5.5
Bryce Elder,2023-07-03,CLE,1,TRUE,0.14691648930779366,0.26312962399918927,0.08931121746380155,0.14702438417074334,0.04196397272178278,3.5
Bryce Miller,2023-05-29,NYY,3,TRUE,0.19803030303030303,0.26621212121212123,0.11979268553059294,0.1584447296557074,0.053071895424836646,5.5
Bryce Miller,2023-06-12,MIA,6,TRUE,0.09403030303030305,0.2450356506238859,0.11200631847205715,0.14361123731372988,0.04069539791507753,4.5
Bryce Miller,2023-06-18,CWS,6,TRUE,0.11545887445887446,0.2319404125286478,0.18357787930507558,0.21524873216863583,0.051746988907755045,5.5
Bryce Miller,2023-06-24,BAL,4,TRUE,0.13045887445887447,0.2299404125286478,0.13868663512389276,0.18816205655954102,0.07726320214154553,4.5
Bryce Miller,2023-06-30,TB,6,TRUE,0.12409523809523812,0.21539495798319325,0.12434104783079358,0.16481043675858661,0.05707693287184414,5.5
Cal Quantrill,2023-05-13,LAA,2,TRUE,0.07536796536796538,0.20837662337662338,0.15500463738616385,0.15518024435176747,0.052769604349879685,3.5
Cal Quantrill,2023-05-19,NYM,6,TRUE,0.0758970658970659,0.24594276094276096,0.09170435816959122,0.13428404888267714,0.05689342403628117,3.5
Cal Quantrill,2023-05-24,CWS,2,TRUE,0.08708587708587709,0.3060826210826211,0.13423522507063732,0.16423294754986445,0.0608291035110442,4.5
Cal Quantrill,2023-05-30,BAL,3,TRUE,0.09813850866482446,0.2881878842405158,0.1433439372114685,0.14450095381325728,0.046303470540758666,3.5
Cal Quantrill,2023-06-30,CHC,1,TRUE,0.11708260804370645,0.2903617972839941,0.10184513901639866,0.1148172961714509,0.0334758729708368,3.5
Carlos Carrasco,2023-05-31,PHI,4,TRUE,0.11598761946588035,0.2791509295857122,0.16293426663072677,0.16593089721647786,0.04690941826535047,4.5
Carlos Carrasco,2023-06-06,ATL,4,TRUE,0.092654286132547,0.2741509295857122,0.1291076923076924,0.140407992007992,0.07688823906458095,4.5
Carlos Carrasco,2023-06-11,PIT,1,TRUE,0.11992701340527427,0.2923327477675303,0.10208964412118433,0.11888730641410614,0.050303030303030294,4.5
Carlos Carrasco,2023-06-18,STL,4,TRUE,0.12032227032227032,0.32079124579124574,0.1238542965882401,0.14532725799746835,0.04438572719060524,4.5
Carlos Carrasco,2023-06-25,PHI,5,TRUE,0.12508417508417508,0.30968013468013467,0.1425313755651896,0.17301745665054344,0.029641681168045664,4.5
Carlos Carrasco,2023-06-30,SF,6,TRUE,0.1375598086124402,0.32098617756512493,0.15799566740217136,0.14813266716159862,0.055247677297860884,4.5
Charlie Morton,2023-05-09,BOS,7,TRUE,0.21947578347578345,0.2976524216524217,0.11165658048335744,0.16306134210409212,0.03529462849829619,5.5
Charlie Morton,2023-05-15,TEX,10,TRUE,0.2048091168091168,0.266985754985755,0.13030592668312482,0.14274419200302546,0.039051841283319184,6.5
Charlie Morton,2023-05-22,LAD,5,TRUE,0.23946520146520145,0.329948717948718,0.08562771787812642,0.1097987402183199,0.07681332711833491,6.5
Charlie Morton,2023-05-27,PHI,9,TRUE,0.2411318681318681,0.3232820512820513,0.12267507557684584,0.16742950571482323,0.0495284658843981,6.5
Charlie Morton,2023-06-07,NYM,5,TRUE,0.23598901098901098,0.30732600732600734,0.14054441294218184,0.14548716845932452,0.05398356356006294,6.5
Charlie Morton,2023-06-18,COL,8,TRUE,0.2414002664002664,0.2505078255078256,0.14276932256170205,0.16960405081465232,0.03259095192060603,7.5
Charlie Morton,2023-06-25,CIN,7,TRUE,0.24973359973359974,0.27550782550782554,0.11002335134451927,0.11579169694863127,0.06455174110988067,6.5
Charlie Morton,2023-07-01,MIA,5,TRUE,0.2358874458874459,0.27827705627705634,0.11865494566957693,0.11741027226845979,0.04261454688850291,6.5
Chase Anderson,2023-06-08,SF,7,TRUE,0.07481792717086834,0.17610644257703081,0.116281235429888,0.1504515318606201,0.04762092574873501,3.5
Chase Anderson,2023-06-13,BOS,6,TRUE,0.13568749238825967,0.24567165996833515,0.0906351707363073,0.13035026757517326,0.03717494406313229,3.5
Chase Anderson,2023-06-18,ATL,2,TRUE,0.14039337474120084,0.27861283643892343,0.09397856395962717,0.13421604710076257,0.07438786160869745,3.5
Chase Anderson,2023-06-24,LAA,1,TRUE,0.16039337474120083,0.2586128364389234,0.13549505059777536,0.1514334462752119,0.06934716920976092,3.5
Chase Anderson,2023-06-29,LAD,6,TRUE,0.13039337474120086,0.2086128364389234,0.13672783514789683,0.1451903233230263,0.04607852464995321,3.5
Chris Bassitt,2023-05-12,ATL,8,TRUE,0.1734021164021164,0.1886772486772487,0.1471487383646382,0.1461810266646594,0.05367817530090818,4.5
Chris Bassitt,2023-05-17,NYY,7,TRUE,0.18656340672469704,0.20029015190305516,0.10655482090004229,0.12800444610987013,0.07165218015092963,5.5
Chris Bassitt,2023-05-22,TB,4,TRUE,0.20002494518623554,0.21311066472356796,0.1376157319691803,0.14901162056334466,0.049953314659196994,4.5
Chris Bassitt,2023-05-27,MIN,5,TRUE,0.20002494518623554,0.21311066472356796,0.13736389245060804,0.14924634988962754,0.045378130641288573,5.5
Chris Bassitt,2023-06-07,HOU,4,TRUE,0.19936356952485987,0.2153593419722452,0.11935223814803304,0.1664823725352556,0.04540080453123933,4.5
Chris Bassitt,2023-06-13,BAL,5,TRUE,0.18497150997151,0.23297720797720797,0.13523426837438557,0.1633530394774853,0.05650075414781296,4.5
Chris Bassitt,2023-06-18,TEX,2,TRUE,0.1655575905575906,0.23444240944240943,0.0874023666697791,0.14058476949491022,0.044039740729421184,4.5
Chris Bassitt,2023-06-23,OAK,4,TRUE,0.14501887001887004,0.23376900876900875,0.12450904584745612,0.1265087608060292,0.027668838588148097,5.5
Chris Bassitt,2023-07-04,CWS,5,TRUE,0.15018048618048618,0.23757708957708953,0.1289342773537607,0.1453449038525033,0.044698571548710306,4.5
Chris Sale,2023-05-13,STL,9,TRUE,0.22662004662004662,0.3203682983682984,0.08865158634988418,0.12776775677210003,0.056257140719602826,6.5
Chris Sale,2023-05-20,SD,8,TRUE,0.2473992673992674,0.37686180486180487,0.09418024291577964,0.10296748354658766,0.022857142857142857,5.5
Chris Sale,2023-05-26,AZ,3,TRUE,0.20586080586080588,0.38947718947718946,0.11658802015718765,0.1394756981352606,0.039476437056806715,6.5
Chris Sale,2023-06-01,CIN,6,TRUE,0.216971916971917,0.40866910866910866,0.11248862136093125,0.14717113961303346,0.05192229992229992,6.5
Clarke Schmidt,2023-05-09,OAK,7,TRUE,0.20692357751181273,0.26699204934499055,0.10347941403934717,0.13148561188768737,0.030291442048517504,6.5
Clarke Schmidt,2023-05-14,TB,5,TRUE,0.2013680219562572,0.23365871601165716,0.12851664682182315,0.13559727657719653,0.050044320213542846,5.5
Clarke Schmidt,2023-05-19,CIN,6,TRUE,0.17732710124014467,0.2679298157559027,0.11377851357351379,0.11351136514273237,0.04655677655677657,5.5
Clarke Schmidt,2023-05-25,BAL,4,TRUE,0.18187255578559922,0.2824752703013572,0.10725853938591931,0.14948655247370515,0.05266023831241223,4.5
Clarke Schmidt,2023-05-31,SEA,7,TRUE,0.15729343120647465,0.22826651609260304,0.15009734647221532,0.1468400038337296,0.059692982456140395,5.5
Clarke Schmidt,2023-06-11,BOS,4,TRUE,0.16876529267833612,0.25077733860342555,0.09564597823438067,0.12400775139670814,0.029339657079419178,4.5
Clarke Schmidt,2023-07-04,BAL,7,TRUE,0.09951834130781492,0.11736682615629981,0.13497059553924998,0.14540172274436886,0.016125574497452385,4.5
Clayton Kershaw,2023-05-10,MIL,8,TRUE,0.2570434782608696,0.24173913043478262,0.10319319630276187,0.11411202726124166,0.05235545091341032,7.5
Clayton Kershaw,2023-05-16,MIN,7,TRUE,0.28304347826086956,0.24273913043478265,0.1352212994291004,0.1418304306804437,0.07386525286894555,7.5
Clayton Kershaw,2023-05-21,STL,6,TRUE,0.24104347826086955,0.2527391304347827,0.10815139833420535,0.12868989125579033,0.077091125910618,6.5
Clayton Kershaw,2023-05-27,TB,6,TRUE,0.23967048054919907,0.25136613272311215,0.10727418230087467,0.16552401665120214,0.039880441416202714,6.5
Clayton Kershaw,2023-06-08,CIN,9,TRUE,0.21358352402745995,0.20058352402745996,0.08735104957349328,0.12523170021276464,0.036147654165854394,7.5
Clayton Kershaw,2023-06-14,CWS,5,TRUE,0.2228427832867192,0.2052131536570896,0.15806343672668982,0.20012520383829885,0.023440360230355013,7.5
Clayton Kershaw,2023-06-20,LAA,5,TRUE,0.21506500550894142,0.19225019069412663,0.1235549927566391,0.12683953400167666,0.05877929427762947,6.5
Clayton Kershaw,2023-06-27,COL,2,TRUE,0.2099967793880837,0.19458937198067633,0.2043837693373291,0.18239343298966726,0.07482819116757414,6.5
Cole Irvin,2023-06-16,CHC,4,TRUE,0.13307359307359307,0.2071861471861472,0.09981027657635884,0.12591157686927382,0.02800285128442166,4.5
Cole Irvin,2023-06-26,CIN,3,TRUE,0.1783838383838384,0.22363636363636363,0.11233606744133062,0.13195765929976458,0.05685618085618087,4.5
Cole Irvin,2023-07-02,MIN,1,TRUE,0.15505050505050505,0.21363636363636362,0.16788980765838415,0.1615242161879289,0.05665945307889044,4.5
Colin Rea,2023-05-23,HOU,4,TRUE,0.13217827176637248,0.15022338454832734,0.10180688845014099,0.14312556000525395,0.05361799351161053,3.5
