Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Ildemaro Vargas,WSN,86,286,4,32,31,1,6.60%,7.00%,0.111,0.259,0.252,0.304,0.363,0.292,0.299,81,-2.7,-9.6,1.1,0.1
Santiago Espinal,TOR,93,254,2,30,25,2,7.10%,14.20%,0.087,0.285,0.248,0.31,0.335,0.285,0.29,80,0.4,-5.6,-1.8,0.1
Dominic Smith,WSN,153,586,12,57,46,1,8.00%,15.50%,0.112,0.286,0.254,0.326,0.366,0.306,0.322,90,-3.9,-11.1,-7.7,0.1
Nolan Schanuel,LAA,29,132,1,19,6,0,15.20%,14.40%,0.055,0.326,0.275,0.402,0.33,0.336,0.351,112,-0.4,1.6,-4.9,0.1
Jonathan Davis,MIA,34,104,2,22,10,1,6.70%,27.90%,0.133,0.328,0.244,0.307,0.378,0.298,0.296,85,0.5,-1.5,-0.9,0.1
Kevin Pillar,ATL,81,206,9,29,32,4,2.90%,24.30%,0.188,0.255,0.228,0.248,0.416,0.28,0.296,71,1.1,-6.2,0.3,0.1
Tony Kemp,OAK,124,419,5,42,27,15,10.50%,9.50%,0.095,0.221,0.209,0.303,0.304,0.276,0.297,77,-1.1,-12.8,-0.4,0.1
Ben Rortvedt,NYY,32,79,2,6,4,0,13.90%,24.10%,0.103,0.128,0.118,0.241,0.221,0.219,0.266,35,0.1,-6.1,4.4,0.1
David Peralta,LAD,133,422,7,47,55,4,4.70%,17.10%,0.122,0.296,0.259,0.294,0.381,0.29,0.31,82,-4.1,-13.4,0,0.1
Dalton Guthrie,PHI,23,28,0,4,0,0,10.70%,25.00%,0.042,0.235,0.167,0.286,0.208,0.239,0.281,45,0.4,-1.5,1.4,0.1
Evan Longoria,ARI,74,237,11,25,28,0,9.70%,30.80%,0.199,0.277,0.223,0.295,0.422,0.308,0.324,92,-2.5,-5,-2.2,0.1
Cody Thomas,OAK,19,46,1,1,2,0,8.70%,37.00%,0.143,0.375,0.238,0.304,0.381,0.3,0.21,94,-0.7,-1,0.2,0.1
Jeter Downs,WSN,6,9,0,4,1,2,44.40%,11.10%,0,0.5,0.4,0.667,0.4,0.505,0.534,224,0.4,1.7,-1.3,0.1
Carlos Pérez,OAK,68,189,6,17,20,0,6.90%,21.20%,0.131,0.256,0.226,0.293,0.357,0.285,0.31,84,-0.7,-4.5,-1.3,0.1
Cole Tucker,COL,5,10,0,2,2,0,10.00%,20.00%,0,0.667,0.5,0.6,0.5,0.495,0.457,202,0.6,1.8,-1.5,0.1
Logan Porter,KCR,11,38,1,4,3,0,13.20%,28.90%,0.129,0.263,0.194,0.324,0.323,0.297,0.298,83,-1.4,-2.2,1.5,0.1
Junior Caminero,TBR,7,36,1,4,7,0,5.60%,22.20%,0.118,0.28,0.235,0.278,0.353,0.276,0.275,77,-0.2,-1.2,0.6,0.1
Alejo Lopez,CIN,1,2,0,1,1,0,0.00%,50.00%,0.5,1,0.5,0.5,1,0.622,0.447,297,0.2,0.7,-0.1,0.1
