,edge,grade,money,value,is_best,bet_quality,implied_value,projected_value,ou,book_name,display_name,full_name,prop
183,-0.071895976541052,F,-165,3.5,False,3.0,4.248331477354788,3.92,over,DK NJ,Mets,Adrian Houser,strikeouts
184,-0.022663906485564,D+,124,3.5,True,4.0,3.874165738677394,4.05,under,FanDuel NJ,Mets,Adrian Houser,strikeouts
185,-0.036167765718201,D,-158,3.5,False,5.0,4.061248608016091,4.05,over,FanDuel NJ,Mets,Adrian Houser,strikeouts
191,-0.023764664943007,D+,-150,3.5,True,5.0,4.061248608016091,4.05,over,PointsBet NJ,Mets,Adrian Houser,strikeouts
190,-0.04135161412676,D,115,3.5,False,3.0,3.687082869338697,4.05,under,PointsBet NJ,Mets,Adrian Houser,strikeouts
192,-0.011017943752645,D+,130,3.5,True,4.0,3.874165738677394,4.05,under,bet365 NJ,Mets,Adrian Houser,strikeouts
193,-0.039149280327622,D,-160,3.5,False,5.0,4.061248608016091,4.05,over,bet365 NJ,Mets,Adrian Houser,strikeouts
316,0.015415644797795,C-,-118,3.5,True,5.0,3.874165738677394,3.95,over,Best Odds,Rockies,Cal Quantrill,strikeouts
317,-0.075930817698289,F,-108,3.5,False,1.0,3.312917130661303,3.95,under,Best Odds,Rockies,Cal Quantrill,strikeouts
324,-0.008517342836828,D+,-130,3.5,True,5.0,3.874165738677394,3.95,over,BetMGM NJ,Rockies,Cal Quantrill,strikeouts
325,-0.05670004846752,F,100,3.5,False,2.0,3.5,3.95,under,BetMGM NJ,Rockies,Cal Quantrill,strikeouts
323,0.021816327537288,C-,-115,3.5,True,7.0,3.687082869338697,3.95,over,BetRivers NJ,Rockies,Cal Quantrill,strikeouts
322,-0.091583769397752,F,-115,3.5,False,1.0,3.312917130661303,3.95,under,BetRivers NJ,Rockies,Cal Quantrill,strikeouts
331,-0.030597649217386,D,100,3.5,True,3.0,3.5,3.82,under,Caesars NJ,Rockies,Cal Quantrill,strikeouts
330,-0.047461422512572,D,-137,3.5,False,5.0,3.874165738677394,3.82,over,Caesars NJ,Rockies,Cal Quantrill,strikeouts
319,-0.004286071712846,D+,-115,3.5,True,6.0,3.687082869338697,3.82,over,DK NJ,Rockies,Cal Quantrill,strikeouts
318,-0.05440717302691,F,-110,3.5,False,1.0,3.312917130661303,3.82,under,DK NJ,Rockies,Cal Quantrill,strikeouts
321,0.015415644797795,C-,-118,3.5,True,5.0,3.874165738677394,3.95,over,FanDuel NJ,Rockies,Cal Quantrill,strikeouts
320,-0.075930817698289,F,-108,3.5,False,1.0,3.312917130661303,3.95,under,FanDuel NJ,Rockies,Cal Quantrill,strikeouts
327,0.021816327537288,C-,-115,3.5,True,7.0,3.687082869338697,3.95,over,PointsBet NJ,Rockies,Cal Quantrill,strikeouts
326,-0.091583769397752,F,-115,3.5,False,1.0,3.312917130661303,3.95,under,PointsBet NJ,Rockies,Cal Quantrill,strikeouts
